PO ID,PO Date,Supplier ID,Category ID,Business Unit,Contract ID,Qty Ordered,Unit Price,Total Amount,Cycle Time (Days),Actual Delivery,Requested Delivery,On Time?,Delivery Variance (Days),Defect Rate (%),Payment Terms (Days),PO Status
PO-00888,09/04/2021,SUP-039,CAT-06,BU-04,CON-0029,203,"$5,117.83","$1,038,919.74",12,10/06/2021,09/16/2021,0,20,5.64%,30,Completed
PO-00889,08/17/2021,SUP-061,CAT-07,BU-07,CON-0036,479,$215.15,"$103,058.59",16,09/01/2021,09/02/2021,1,-1,3.34%,60,Completed
PO-00890,03/24/2021,SUP-041,CAT-14,BU-08,CON-0110,29,"$573,963.11","$16,644,930.05",45,05/06/2021,05/08/2021,1,-2,14.70%,60,Completed
PO-00891,01/01/2021,SUP-026,CAT-14,BU-04,CON-0110,165,"$2,893.67","$477,455.49",20,02/01/2021,01/21/2021,0,11,4.91%,30,Completed
PO-00892,06/26/2021,SUP-028,CAT-12,BU-08,,167,$245.40,"$40,982.03",13,07/09/2021,07/09/2021,1,0,2.86%,60,Completed
PO-00893,08/25/2021,SUP-050,CAT-14,BU-08,,31,"$47,775.72","$1,481,047.34",10,09/03/2021,09/04/2021,1,-1,2.93%,90,Completed
PO-00894,08/10/2021,SUP-015,CAT-12,BU-08,,397,$572.92,"$227,449.60",38,09/15/2021,09/17/2021,1,-2,13.49%,60,Completed
PO-00895,01/19/2021,SUP-026,CAT-09,BU-02,CON-0073,134,"$1,100.42","$147,455.96",24,02/11/2021,02/12/2021,1,-1,5.83%,30,Pending
PO-00896,02/25/2021,SUP-009,CAT-13,BU-06,CON-0067,453,"$10,032.00","$4,544,496.78",21,03/18/2021,03/18/2021,1,0,5.73%,90,Completed
PO-00897,07/07/2021,SUP-034,CAT-13,BU-05,CON-0007,219,"$3,987.65","$873,295.69",8,07/12/2021,07/15/2021,1,-3,2.50%,60,Pending
PO-00898,01/17/2021,SUP-048,CAT-01,BU-01,CON-0064,168,"$11,438.02","$1,921,587.11",24,02/09/2021,02/10/2021,1,-1,5.44%,30,Completed
PO-00899,09/19/2021,SUP-012,CAT-01,BU-02,CON-0064,333,"$3,510.97","$1,169,154.22",5,09/24/2021,09/24/2021,1,0,2.45%,60,Completed
PO-00900,01/24/2021,SUP-020,CAT-01,BU-06,,271,"$4,846.08","$1,313,287.73",29,02/22/2021,02/22/2021,1,0,7.23%,30,Completed
PO-00901,12/10/2021,SUP-001,CAT-13,BU-07,,133,"$9,632.36","$1,281,103.69",15,12/24/2021,12/25/2021,1,-1,1.60%,90,Completed
PO-00902,04/07/2021,SUP-074,CAT-05,BU-06,CON-0010,158,$204.95,"$32,382.87",4,04/08/2021,04/11/2021,1,-3,2.34%,60,Completed
PO-00903,04/03/2021,SUP-042,CAT-13,BU-06,CON-0067,139,"$8,404.08","$1,168,166.85",22,05/02/2021,04/25/2021,0,7,12.27%,60,Cancelled
PO-00904,08/15/2021,SUP-016,CAT-03,BU-07,,107,"$2,444.72","$261,584.51",27,09/11/2021,09/11/2021,1,0,7.79%,90,Completed
PO-00905,02/13/2021,SUP-076,CAT-01,BU-02,,371,"$1,055.09","$391,438.73",31,03/14/2021,03/16/2021,1,-2,4.44%,90,Completed
PO-00906,08/20/2021,SUP-046,CAT-13,BU-06,CON-0096,185,"$26,641.78","$4,928,730.10",30,09/16/2021,09/19/2021,1,-3,14.34%,60,Cancelled
PO-00907,03/13/2021,SUP-054,CAT-01,BU-07,CON-0064,429,"$1,728.74","$741,628.14",9,03/21/2021,03/22/2021,1,-1,2.61%,60,Completed
PO-00908,01/21/2021,SUP-050,CAT-15,BU-08,,460,$419.62,"$193,025.72",17,02/05/2021,02/07/2021,1,-2,2.24%,90,Cancelled
PO-00909,03/17/2021,SUP-020,CAT-13,BU-03,CON-0067,444,"$1,111.87","$493,671.01",30,04/15/2021,04/16/2021,1,-1,5.32%,30,Completed
PO-00910,08/14/2021,SUP-023,CAT-06,BU-03,CON-0029,93,"$24,211.86","$2,251,703.35",7,08/18/2021,08/21/2021,1,-3,2.36%,90,Cancelled
PO-00911,02/07/2021,SUP-040,CAT-01,BU-07,CON-0104,15,"$442,654.75","$6,639,821.26",9,02/14/2021,02/16/2021,1,-2,2.74%,30,Cancelled
PO-00912,08/13/2021,SUP-077,CAT-13,BU-03,,48,"$5,660.51","$271,704.61",20,09/06/2021,09/02/2021,0,4,7.78%,60,Completed
PO-00913,08/14/2021,SUP-069,CAT-09,BU-08,,160,$967.41,"$154,785.06",22,09/04/2021,09/05/2021,1,-1,1.90%,90,Completed
PO-00914,01/12/2021,SUP-079,CAT-15,BU-02,CON-0022,413,$71.52,"$29,537.43",45,02/23/2021,02/26/2021,1,-3,11.92%,90,Completed
PO-00915,09/10/2021,SUP-079,CAT-05,BU-02,,155,$266.76,"$41,347.25",25,10/20/2021,10/05/2021,0,15,11.02%,90,Completed
PO-00916,12/19/2021,SUP-035,CAT-10,BU-03,CON-0093,479,$631.78,"$302,622.80",8,12/27/2021,12/27/2021,1,0,5.42%,30,Completed
PO-00917,07/06/2021,SUP-002,CAT-13,BU-03,CON-0007,293,"$3,334.64","$977,048.98",9,07/14/2021,07/15/2021,1,-1,0.56%,30,Completed
PO-00918,10/19/2021,SUP-052,CAT-12,BU-08,,226,$625.78,"$141,426.14",18,11/23/2021,11/06/2021,0,17,14.09%,30,Completed
PO-00919,02/06/2021,SUP-033,CAT-06,BU-06,CON-0069,50,"$46,776.45","$2,338,822.59",12,02/17/2021,02/18/2021,1,-1,0.19%,60,Completed
PO-00920,11/21/2021,SUP-004,CAT-04,BU-03,,62,"$12,593.83","$780,817.67",24,12/13/2021,12/15/2021,1,-2,7.11%,60,Completed
PO-00921,04/14/2021,SUP-071,CAT-07,BU-02,CON-0009,262,$641.45,"$168,059.87",13,04/25/2021,04/27/2021,1,-2,6.43%,60,Completed
PO-00922,05/24/2021,SUP-046,CAT-11,BU-03,CON-0081,118,$340.79,"$40,212.74",37,07/17/2021,06/30/2021,0,17,5.00%,60,Completed
PO-00923,12/22/2021,SUP-022,CAT-04,BU-04,CON-0086,313,$469.90,"$147,079.33",28,01/28/2022,01/19/2022,0,9,3.59%,90,Completed
PO-00924,02/13/2021,SUP-038,CAT-03,BU-07,CON-0066,70,"$3,845.51","$269,185.90",13,02/27/2021,02/26/2021,0,1,0.22%,90,Completed
PO-00925,11/22/2021,SUP-040,CAT-12,BU-04,,31,"$6,058.19","$187,804.01",14,12/04/2021,12/06/2021,1,-2,1.44%,30,Completed
PO-00926,03/26/2021,SUP-032,CAT-14,BU-07,CON-0110,428,"$1,441.47","$616,949.51",7,04/01/2021,04/02/2021,1,-1,0.42%,60,Completed
PO-00927,10/24/2021,SUP-075,CAT-14,BU-03,,168,"$1,526.74","$256,492.23",7,10/30/2021,10/31/2021,1,-1,4.67%,90,Completed
PO-00928,11/20/2021,SUP-061,CAT-04,BU-04,CON-0062,313,"$2,118.61","$663,125.08",21,12/10/2021,12/11/2021,1,-1,7.13%,60,Completed
PO-00929,09/02/2021,SUP-049,CAT-08,BU-05,,449,$647.18,"$290,584.90",29,10/01/2021,10/01/2021,1,0,6.31%,30,Completed
PO-00930,10/04/2021,SUP-012,CAT-13,BU-06,,360,"$11,888.43","$4,279,833.98",8,10/09/2021,10/12/2021,1,-3,2.60%,60,Completed
PO-00931,09/24/2021,SUP-036,CAT-12,BU-05,,129,$816.75,"$105,360.60",26,10/17/2021,10/20/2021,1,-3,11.56%,60,Completed
PO-00932,02/19/2021,SUP-064,CAT-10,BU-04,CON-0093,363,$165.91,"$60,224.97",22,03/13/2021,03/13/2021,1,0,5.25%,30,Completed
PO-00933,12/22/2021,SUP-049,CAT-15,BU-01,CON-0047,392,$299.10,"$117,246.98",14,01/05/2022,01/05/2022,1,0,6.71%,30,Completed
PO-00934,01/02/2021,SUP-045,CAT-02,BU-08,CON-0046,322,"$1,463.65","$471,294.56",13,01/12/2021,01/15/2021,1,-3,0.65%,90,Completed
PO-00935,02/21/2021,SUP-043,CAT-13,BU-02,,457,"$45,597.45","$20,838,034.47",15,03/07/2021,03/08/2021,1,-1,3.47%,90,Completed
PO-00936,10/09/2021,SUP-058,CAT-04,BU-01,CON-0086,407,"$1,948.53","$793,051.28",12,10/20/2021,10/21/2021,1,-1,6.18%,90,Completed
PO-00937,07/25/2021,SUP-023,CAT-14,BU-08,CON-0099,413,"$1,356.22","$560,116.82",15,08/20/2021,08/09/2021,0,11,2.49%,90,Pending
PO-00938,09/24/2021,SUP-012,CAT-10,BU-07,CON-0093,104,"$2,818.96","$293,171.63",6,09/30/2021,09/30/2021,1,0,1.05%,60,Completed
PO-00939,07/12/2021,SUP-021,CAT-09,BU-03,CON-0017,260,$213.65,"$55,549.54",29,08/09/2021,08/10/2021,1,-1,6.30%,30,Completed
PO-00940,03/13/2021,SUP-080,CAT-10,BU-02,,449,$121.13,"$54,385.86",36,04/17/2021,04/18/2021,1,-1,4.75%,30,Completed
PO-00941,08/12/2021,SUP-051,CAT-14,BU-03,CON-0023,449,"$2,840.23","$1,275,263.76",43,10/14/2021,09/24/2021,0,20,9.84%,30,Pending
PO-00942,08/08/2021,SUP-057,CAT-13,BU-01,,14,"$67,432.62","$944,056.71",9,08/15/2021,08/17/2021,1,-2,0.74%,30,Completed
PO-00943,02/21/2021,SUP-028,CAT-08,BU-03,,430,"$4,173.01","$1,794,395.59",9,02/28/2021,03/02/2021,1,-2,1.24%,60,Completed
PO-00944,01/19/2021,SUP-052,CAT-04,BU-07,CON-0086,190,"$3,413.88","$648,638.09",26,02/22/2021,02/14/2021,0,8,6.84%,30,Completed
PO-00945,09/23/2021,SUP-018,CAT-15,BU-06,CON-0112,50,"$3,202.67","$160,133.63",44,11/23/2021,11/06/2021,0,17,11.50%,90,Completed
PO-00946,01/04/2021,SUP-078,CAT-06,BU-04,CON-0029,28,"$51,761.81","$1,449,330.66",21,01/25/2021,01/25/2021,1,0,5.14%,30,Pending
PO-00947,10/06/2021,SUP-003,CAT-03,BU-08,CON-0052,362,$745.29,"$269,794.07",11,10/16/2021,10/17/2021,1,-1,1.46%,60,Completed
PO-00948,07/19/2021,SUP-033,CAT-13,BU-01,CON-0096,69,"$32,869.34","$2,267,984.14",8,07/27/2021,07/27/2021,1,0,0.93%,60,Completed
PO-00949,08/10/2021,SUP-043,CAT-03,BU-04,CON-0094,277,"$1,026.78","$284,417.66",28,09/04/2021,09/07/2021,1,-3,7.80%,90,Pending
PO-00950,04/25/2021,SUP-046,CAT-13,BU-02,CON-0067,374,"$8,413.05","$3,146,482.21",20,05/23/2021,05/15/2021,0,8,14.76%,60,Completed
PO-00951,07/06/2021,SUP-024,CAT-01,BU-01,CON-0104,49,"$30,018.39","$1,470,900.88",45,08/20/2021,08/20/2021,1,0,12.66%,30,Completed
PO-00952,09/16/2021,SUP-018,CAT-01,BU-06,,221,"$2,972.09","$656,831.00",43,10/26/2021,10/29/2021,1,-3,5.21%,90,Completed
PO-00953,09/08/2021,SUP-045,CAT-03,BU-02,,11,"$20,729.68","$228,026.46",11,09/16/2021,09/19/2021,1,-3,2.05%,90,Pending
PO-00954,12/01/2021,SUP-068,CAT-06,BU-01,,289,"$59,112.61","$17,083,545.62",26,01/02/2022,12/27/2021,0,6,5.26%,90,Completed
PO-00955,04/06/2021,SUP-069,CAT-02,BU-04,CON-0046,308,"$1,424.05","$438,606.61",18,04/24/2021,04/24/2021,1,0,5.94%,90,Completed
PO-00956,04/06/2021,SUP-065,CAT-14,BU-03,CON-0110,491,"$1,986.33","$975,286.91",14,04/30/2021,04/20/2021,0,10,2.81%,90,Pending
PO-00957,12/22/2021,SUP-024,CAT-06,BU-03,CON-0059,314,"$2,102.43","$660,163.12",44,02/04/2022,02/04/2022,1,0,14.14%,30,Completed
PO-00958,06/13/2021,SUP-058,CAT-13,BU-02,CON-0007,123,"$14,829.68","$1,824,050.92",22,07/05/2021,07/05/2021,1,0,1.29%,90,Pending
PO-00959,11/16/2021,SUP-076,CAT-10,BU-02,CON-0037,270,"$1,124.55","$303,627.98",33,12/19/2021,12/19/2021,1,0,12.08%,90,Completed
PO-00960,05/10/2021,SUP-042,CAT-07,BU-03,,219,$416.65,"$91,245.98",27,06/03/2021,06/06/2021,1,-3,8.89%,60,Completed
PO-00961,08/11/2021,SUP-072,CAT-01,BU-08,CON-0104,148,"$6,894.25","$1,020,348.48",39,09/21/2021,09/19/2021,0,2,9.33%,60,Cancelled
PO-00962,08/03/2021,SUP-040,CAT-06,BU-03,CON-0029,97,"$136,537.82","$13,244,168.89",7,08/12/2021,08/10/2021,0,2,2.47%,30,Completed
PO-00963,09/14/2021,SUP-066,CAT-01,BU-03,CON-0064,487,"$3,749.06","$1,825,791.10",12,10/07/2021,09/26/2021,0,11,1.51%,30,Completed
PO-00964,07/07/2021,SUP-074,CAT-09,BU-01,,60,"$1,692.62","$101,557.29",6,07/11/2021,07/13/2021,1,-2,1.98%,60,Completed
PO-00965,08/11/2021,SUP-023,CAT-01,BU-07,CON-0104,80,"$22,991.10","$1,839,288.21",4,08/14/2021,08/15/2021,1,-1,2.65%,90,Completed
PO-00966,07/19/2021,SUP-040,CAT-10,BU-04,CON-0113,354,$947.56,"$335,435.60",2,07/21/2021,07/21/2021,1,0,1.13%,30,Completed
PO-00967,07/07/2021,SUP-063,CAT-11,BU-05,CON-0111,66,$46.18,"$3,048.17",28,08/01/2021,08/04/2021,1,-3,5.46%,60,Pending
PO-00968,08/26/2021,SUP-063,CAT-13,BU-02,,132,"$13,419.83","$1,771,417.11",28,09/23/2021,09/23/2021,1,0,2.99%,60,Completed
PO-00969,03/28/2021,SUP-073,CAT-14,BU-05,,453,$492.56,"$223,131.02",5,04/20/2021,04/02/2021,0,18,2.54%,90,Completed
PO-00970,06/17/2021,SUP-005,CAT-01,BU-08,CON-0064,95,"$5,219.56","$495,857.90",3,06/17/2021,06/20/2021,1,-3,0.73%,30,Completed
PO-00971,01/15/2021,SUP-019,CAT-06,BU-08,CON-0029,499,"$4,052.79","$2,022,342.61",5,01/19/2021,01/20/2021,1,-1,0.13%,90,Cancelled
PO-00972,09/05/2021,SUP-044,CAT-13,BU-05,CON-0096,29,"$83,371.38","$2,417,770.05",19,09/23/2021,09/24/2021,1,-1,4.54%,60,Completed
PO-00973,09/21/2021,SUP-025,CAT-09,BU-06,CON-0073,432,$37.21,"$16,074.32",22,10/23/2021,10/13/2021,0,10,9.68%,90,Pending
PO-00974,05/11/2021,SUP-008,CAT-02,BU-02,CON-0046,371,"$8,838.22","$3,278,981.27",17,05/26/2021,05/28/2021,1,-2,7.31%,60,Completed
PO-00975,04/01/2021,SUP-049,CAT-07,BU-01,CON-0036,115,"$2,703.89","$310,947.74",27,04/25/2021,04/28/2021,1,-3,1.14%,30,Completed
PO-00976,01/16/2021,SUP-074,CAT-04,BU-07,,384,"$1,313.43","$504,357.80",5,01/20/2021,01/21/2021,1,-1,1.04%,60,Completed
PO-00977,07/15/2021,SUP-062,CAT-13,BU-03,CON-0096,375,"$3,398.48","$1,274,431.21",12,08/09/2021,07/27/2021,0,13,7.99%,60,Completed
PO-00978,12/12/2021,SUP-003,CAT-15,BU-07,CON-0047,451,$29.49,"$13,298.20",24,01/18/2022,01/05/2022,0,13,1.88%,60,Completed
PO-00979,08/07/2021,SUP-052,CAT-07,BU-07,CON-0036,199,"$1,494.36","$297,377.98",29,09/04/2021,09/05/2021,1,-1,10.98%,30,Pending
PO-00980,08/17/2021,SUP-027,CAT-13,BU-04,,448,"$2,492.48","$1,116,632.36",13,08/29/2021,08/30/2021,1,-1,2.70%,30,Completed
PO-00981,02/25/2021,SUP-053,CAT-07,BU-06,CON-0009,278,$597.98,"$166,239.38",35,04/01/2021,04/01/2021,1,0,3.61%,30,Completed
PO-00982,10/18/2021,SUP-021,CAT-06,BU-07,CON-0105,356,"$1,749.76","$622,914.18",13,10/29/2021,10/31/2021,1,-2,2.91%,30,Completed
PO-00983,07/19/2021,SUP-020,CAT-10,BU-07,CON-0037,126,$639.26,"$80,547.22",30,08/18/2021,08/18/2021,1,0,3.21%,30,Completed
PO-00984,02/20/2021,SUP-068,CAT-06,BU-01,CON-0029,28,"$169,636.61","$4,749,824.95",25,03/28/2021,03/17/2021,0,11,14.18%,90,Completed
PO-00985,04/24/2021,SUP-020,CAT-01,BU-04,CON-0064,299,"$2,534.22","$757,733.12",21,05/13/2021,05/15/2021,1,-2,3.03%,30,Pending
PO-00986,01/18/2021,SUP-021,CAT-14,BU-03,,210,"$1,055.90","$221,738.68",12,01/30/2021,01/30/2021,1,0,5.90%,30,Completed
PO-00987,03/28/2021,SUP-032,CAT-09,BU-02,CON-0055,21,"$10,866.87","$228,204.36",4,04/01/2021,04/01/2021,1,0,1.14%,60,Completed
PO-00988,03/01/2021,SUP-076,CAT-15,BU-06,CON-0022,344,"$2,659.03","$914,706.90",33,04/02/2021,04/03/2021,1,-1,14.85%,90,Completed
PO-00989,03/03/2021,SUP-023,CAT-07,BU-03,CON-0036,479,$768.17,"$367,954.14",14,03/24/2021,03/17/2021,0,7,2.88%,90,Completed
PO-00990,10/23/2021,SUP-011,CAT-14,BU-06,CON-0110,214,$341.75,"$73,135.53",12,11/03/2021,11/04/2021,1,-1,2.34%,90,Completed
PO-00991,02/17/2021,SUP-004,CAT-13,BU-08,CON-0067,157,"$2,864.03","$449,653.14",15,03/04/2021,03/04/2021,1,0,3.36%,60,Completed
PO-00992,06/25/2021,SUP-059,CAT-09,BU-02,CON-0017,320,$129.24,"$41,355.97",7,06/29/2021,07/02/2021,1,-3,3.12%,60,Completed
PO-00993,02/16/2021,SUP-049,CAT-01,BU-07,,172,"$7,908.21","$1,360,212.64",18,03/20/2021,03/06/2021,0,14,3.85%,30,Completed
PO-00994,09/12/2021,SUP-034,CAT-09,BU-04,CON-0055,344,$87.19,"$29,993.47",3,09/14/2021,09/15/2021,1,-1,2.58%,60,Completed
PO-00995,05/01/2021,SUP-017,CAT-13,BU-02,,122,"$92,264.52","$11,256,271.37",9,05/11/2021,05/10/2021,0,1,6.06%,60,Completed
PO-00996,09/11/2021,SUP-080,CAT-02,BU-02,,236,"$1,358.22","$320,540.66",35,10/20/2021,10/16/2021,0,4,10.35%,30,Pending
PO-00997,08/05/2021,SUP-026,CAT-02,BU-02,,222,"$1,643.07","$364,762.11",28,08/30/2021,09/02/2021,1,-3,6.02%,30,Completed
PO-00998,09/21/2021,SUP-068,CAT-12,BU-04,,310,$216.83,"$67,216.93",37,10/27/2021,10/28/2021,1,-1,11.78%,90,Completed
PO-00999,12/28/2021,SUP-008,CAT-01,BU-08,,102,$610.89,"$62,311.11",15,01/10/2022,01/12/2022,1,-2,5.90%,60,Completed
PO-01000,01/03/2021,SUP-025,CAT-04,BU-03,CON-0019,304,$510.09,"$155,066.15",24,02/13/2021,01/27/2021,0,17,10.69%,90,Completed
PO-01001,03/09/2021,SUP-045,CAT-04,BU-04,CON-0086,32,"$7,709.87","$246,715.84",3,03/09/2021,03/12/2021,1,-3,1.86%,90,Completed
PO-01002,11/03/2021,SUP-058,CAT-04,BU-01,CON-0086,470,$208.38,"$97,938.40",18,11/18/2021,11/21/2021,1,-3,4.98%,90,Completed
PO-01003,03/11/2021,SUP-058,CAT-13,BU-06,CON-0096,251,"$7,880.99","$1,978,128.28",17,03/26/2021,03/28/2021,1,-2,2.60%,90,Completed
PO-01004,06/23/2021,SUP-046,CAT-13,BU-07,CON-0096,484,"$3,630.09","$1,756,965.32",27,07/20/2021,07/20/2021,1,0,8.43%,60,Pending
PO-01005,01/25/2021,SUP-050,CAT-09,BU-07,CON-0055,446,$446.60,"$199,183.67",27,02/20/2021,02/21/2021,1,-1,1.10%,90,Completed
PO-01006,01/22/2021,SUP-023,CAT-01,BU-03,CON-0064,139,"$33,095.42","$4,600,263.93",7,01/29/2021,01/29/2021,1,0,1.18%,90,Completed
PO-01007,11/28/2021,SUP-071,CAT-02,BU-05,,222,"$1,142.06","$253,536.69",20,12/24/2021,12/18/2021,0,6,4.41%,60,Completed
PO-01008,07/12/2021,SUP-014,CAT-07,BU-02,CON-0036,266,$936.13,"$249,009.80",9,07/21/2021,07/21/2021,1,0,1.47%,90,Completed
PO-01009,04/21/2021,SUP-021,CAT-14,BU-06,CON-0110,272,"$3,444.33","$936,858.80",16,05/06/2021,05/07/2021,1,-1,6.65%,30,Completed
PO-01010,01/12/2021,SUP-073,CAT-12,BU-08,,108,"$1,293.08","$139,652.68",7,01/18/2021,01/19/2021,1,-1,1.90%,90,Completed
PO-01011,12/16/2021,SUP-036,CAT-10,BU-06,CON-0093,495,$643.99,"$318,773.35",25,01/29/2022,01/10/2022,0,19,14.65%,60,Completed
PO-01012,11/19/2021,SUP-079,CAT-01,BU-04,CON-0064,10,"$100,274.64","$1,002,746.44",25,12/11/2021,12/14/2021,1,-3,7.61%,90,Pending
PO-01013,05/11/2021,SUP-011,CAT-04,BU-08,CON-0086,99,$823.56,"$81,532.59",15,05/25/2021,05/26/2021,1,-1,6.93%,90,Pending
PO-01014,09/08/2021,SUP-029,CAT-15,BU-01,CON-0112,490,$233.81,"$114,566.19",7,09/14/2021,09/15/2021,1,-1,1.81%,30,Completed
PO-01015,03/27/2021,SUP-025,CAT-12,BU-02,,269,$102.47,"$27,563.26",40,05/04/2021,05/06/2021,1,-2,12.49%,90,Completed
PO-01016,02/27/2021,SUP-002,CAT-10,BU-05,,391,"$2,287.54","$894,427.96",8,03/07/2021,03/07/2021,1,0,2.33%,30,Completed
PO-01017,06/15/2021,SUP-049,CAT-15,BU-03,CON-0112,142,$183.17,"$26,010.25",13,06/28/2021,06/28/2021,1,0,2.99%,30,Completed
PO-01018,08/11/2021,SUP-003,CAT-06,BU-02,,73,"$14,341.92","$1,046,960.31",17,09/10/2021,08/28/2021,0,13,4.85%,60,Completed
PO-01019,02/21/2021,SUP-042,CAT-02,BU-07,,330,$952.36,"$314,279.39",24,03/14/2021,03/17/2021,1,-3,13.60%,60,Pending
PO-01020,03/23/2021,SUP-017,CAT-04,BU-08,,268,$307.01,"$82,278.88",12,04/12/2021,04/04/2021,0,8,1.64%,60,Completed
PO-01021,10/12/2021,SUP-044,CAT-10,BU-02,CON-0037,269,$852.11,"$229,218.23",20,11/01/2021,11/01/2021,1,0,5.86%,60,Completed
PO-01022,07/03/2021,SUP-027,CAT-01,BU-08,,117,"$13,140.08","$1,537,389.94",5,07/05/2021,07/08/2021,1,-3,0.16%,30,Completed
PO-01023,10/08/2021,SUP-062,CAT-13,BU-01,,489,"$7,854.67","$3,840,933.16",11,10/18/2021,10/19/2021,1,-1,3.71%,60,Completed
PO-01024,01/13/2021,SUP-003,CAT-13,BU-05,CON-0067,107,"$289,235.66","$30,948,215.67",14,01/24/2021,01/27/2021,1,-3,3.45%,60,Pending
PO-01025,07/12/2021,SUP-066,CAT-01,BU-03,CON-0064,382,"$2,868.19","$1,095,648.47",26,08/06/2021,08/07/2021,1,-1,4.58%,30,Completed
PO-01026,06/07/2021,SUP-078,CAT-09,BU-05,CON-0055,334,$675.16,"$225,502.75",16,06/23/2021,06/23/2021,1,0,5.22%,30,Completed
PO-01027,02/17/2021,SUP-052,CAT-15,BU-04,,381,$34.45,"$13,123.72",44,04/09/2021,04/02/2021,0,7,12.12%,30,Completed
PO-01028,10/10/2021,SUP-028,CAT-12,BU-05,,291,$88.54,"$25,766.59",15,10/22/2021,10/25/2021,1,-3,0.93%,60,Completed
PO-01029,06/06/2021,SUP-043,CAT-07,BU-04,,235,"$1,243.31","$292,177.71",19,06/23/2021,06/25/2021,1,-2,7.45%,90,Completed
PO-01030,08/20/2021,SUP-037,CAT-10,BU-04,,26,"$12,597.36","$327,531.46",15,09/03/2021,09/04/2021,1,-1,2.79%,90,Completed
PO-01031,01/13/2021,SUP-073,CAT-09,BU-03,,498,$197.45,"$98,331.94",8,01/20/2021,01/21/2021,1,-1,0.23%,90,Completed
PO-01032,10/01/2021,SUP-039,CAT-08,BU-01,CON-0028,478,$213.95,"$102,266.09",13,10/11/2021,10/14/2021,1,-3,7.16%,30,Completed
PO-01033,01/06/2021,SUP-002,CAT-13,BU-02,,297,"$4,468.19","$1,327,053.55",13,01/18/2021,01/19/2021,1,-1,0.07%,30,Completed
PO-01034,02/03/2021,SUP-020,CAT-04,BU-04,,426,"$12,926.11","$5,506,523.78",21,02/21/2021,02/24/2021,1,-3,5.04%,30,Cancelled
PO-01035,02/03/2021,SUP-036,CAT-06,BU-05,CON-0029,447,"$41,890.26","$18,724,944.45",21,02/24/2021,02/24/2021,1,0,12.72%,60,Completed
PO-01036,09/02/2021,SUP-073,CAT-09,BU-07,CON-0073,381,$525.12,"$200,071.31",2,09/01/2021,09/04/2021,1,-3,1.79%,90,Completed
PO-01037,02/16/2021,SUP-070,CAT-14,BU-03,CON-0110,165,"$6,684.78","$1,102,987.97",30,03/18/2021,03/18/2021,1,0,2.22%,30,Completed
PO-01038,11/15/2021,SUP-045,CAT-14,BU-05,,346,"$2,963.45","$1,025,354.02",10,11/25/2021,11/25/2021,1,0,0.26%,90,Completed
PO-01039,03/05/2021,SUP-043,CAT-08,BU-06,CON-0116,85,"$5,378.21","$457,147.92",8,03/11/2021,03/13/2021,1,-2,5.19%,90,Completed
PO-01040,12/27/2021,SUP-021,CAT-13,BU-03,CON-0096,422,"$9,854.24","$4,158,490.42",20,02/02/2022,01/16/2022,0,17,4.81%,30,Completed
PO-01041,01/19/2021,SUP-001,CAT-01,BU-05,CON-0064,404,"$3,694.15","$1,492,436.96",7,01/25/2021,01/26/2021,1,-1,2.20%,90,Completed
PO-01042,06/18/2021,SUP-051,CAT-14,BU-07,,385,"$1,452.32","$559,144.82",18,07/06/2021,07/06/2021,1,0,4.87%,30,Completed
PO-01043,07/25/2021,SUP-025,CAT-09,BU-01,CON-0079,469,$430.67,"$201,984.45",17,08/21/2021,08/11/2021,0,10,5.90%,90,Completed
PO-01044,01/27/2021,SUP-027,CAT-12,BU-02,,107,"$4,863.35","$520,378.37",4,01/28/2021,01/31/2021,1,-3,0.20%,30,Completed
PO-01045,10/04/2021,SUP-055,CAT-06,BU-06,CON-0029,199,"$10,671.73","$2,123,673.69",18,10/22/2021,10/22/2021,1,0,5.33%,30,Completed
PO-01046,09/21/2021,SUP-079,CAT-15,BU-01,CON-0112,131,$782.44,"$102,499.00",37,10/28/2021,10/28/2021,1,0,12.04%,90,Completed
PO-01047,02/14/2021,SUP-076,CAT-09,BU-06,CON-0079,493,$504.49,"$248,713.20",30,03/19/2021,03/16/2021,0,3,8.70%,90,Completed
PO-01048,03/03/2021,SUP-032,CAT-13,BU-02,CON-0096,18,"$75,478.75","$1,358,617.47",7,03/10/2021,03/10/2021,1,0,0.65%,60,Completed
PO-01049,07/01/2021,SUP-017,CAT-12,BU-01,,238,$583.55,"$138,884.69",15,07/16/2021,07/16/2021,1,0,6.61%,60,Completed
PO-01050,09/24/2021,SUP-007,CAT-06,BU-05,CON-0105,438,"$1,379.83","$604,364.17",20,10/13/2021,10/14/2021,1,-1,8.12%,90,Completed
PO-01051,11/27/2021,SUP-010,CAT-09,BU-04,CON-0030,414,$27.45,"$11,366.20",12,12/09/2021,12/09/2021,1,0,0.13%,90,Completed
PO-01052,02/11/2021,SUP-075,CAT-13,BU-08,,467,"$4,998.71","$2,334,398.79",10,02/19/2021,02/21/2021,1,-2,1.92%,90,Completed
PO-01053,09/20/2021,SUP-073,CAT-06,BU-01,CON-0105,363,"$6,621.43","$2,403,578.32",10,09/29/2021,09/30/2021,1,-1,1.90%,90,Pending
PO-01054,10/16/2021,SUP-005,CAT-14,BU-05,CON-0110,450,$326.80,"$147,060.90",12,10/28/2021,10/28/2021,1,0,1.52%,30,Completed
